A̱o,Trimestre,Ocupados con ingresos
2017,1er trimestre,60412
2017,2do trimestre,62512
2017,3er trimestre,60674
2017,4to trimestre,63110
2018,1er trimestre,64968
2018,2do trimestre,64923
2018,3er trimestre,60798
2018,4to trimestre,61074
2019,1er trimestre,61358
2019,2do trimestre,63440
2019,3er trimestre,62318
2019,4to trimestre,64315
2020,1er trimestre,59830
2020,2do trimestre,46321
2020,3er trimestre,55104
2020,4to trimestre,63887
2021,1er trimestre,66709
2021,2do trimestre,69767
2021,3er trimestre,71764
2021,4to trimestre,69885
2022,1er trimestre,74412
2022,2do trimestre,78409
2022,3er trimestre,74575
2022,4to trimestre,79925
2023,1er trimestre,81149
2023,2do trimestre,82668
2023,3er trimestre,80605
2023,4to trimestre,85768
